# percent_low percent_high x_cut_low x_cut_high
0 5 84.279488105092085 400
5 10 71.161645794079831 84.279488105092085
10 15 61.851049914678903 71.161645794079831
15 20 54.221799728902596 61.851049914678903
20 25 47.621050410314787 54.221799728902596
25 30 41.779934279354912 47.621050410314787
30 35 36.565370402671334 41.779934279354912
35 40 31.897278479217785 36.565370402671334
40 45 27.7173644145015 31.897278479217785
45 50 23.976929726995554 27.7173644145015
50 55 20.631649681699155 23.976929726995554
55 60 17.638848912627683 20.631649681699155
60 65 14.955906092496575 17.638848912627683
65 70 12.539412181601319 14.955906092496575
70 75 10.344670068411588 12.539412181601319
75 80 8.3246444728280089 10.344670068411588
80 85 6.4265059875598487 8.3246444728280089
85 90 4.5805392397819666 6.4265059875598487
90 95 2.6563311857420437 4.5805392397819666
95 100 0 2.6563311857420437
